selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
43,representative_base,base_representative;high_composite,widesearch,widesearch/widesearch-ws-zh-033,widesearch/widesearch/widesearch-ws-zh-033,base_representative;high_composite,0.6541732187499999,0.7141732187499998,medium,0.332692875,1.0,0.29,0.99,16,0.667307125,0.667307125,0.3738443434206399,0.8125954970702873,0.3346027537265068,0.08161804355293523,1.0,72.0,11.0,True,False,False,False,True
44,representative_base,base_representative,gpqa-diamond,138,gpqa-diamond/138,base_representative,0.6527383538893772,0.7127383538893772,easy,0.29166662499999996,0.994475138121547,0.4088397790055249,0.8636363636363636,16,0.708333375,0.708333375,0.3886408072801406,0.8565335058722113,0.3538034145683369,0.056415238873793405,2.0,108.0,35.0,True,False,False,False,False
45,representative_base,base_representative;high_composite,ineqmath,78,ineqmath/78,base_representative;high_composite,0.6520520833333333,0.7120520833333333,easy,0.1875,1.0,0.5677083333333334,0.755,16,0.8125,0.8125,0.3529390685530931,0.0900674991579499,0.28247741946318045,0.04737119239438714,1.0,42.0,6.0,True,False,False,False,True
46,representative_base,base_representative;high_composite,omnimath,omnimath_3248,omnimath/omnimath_3248,base_representative;high_composite,0.65201040625,0.7120104062499999,medium,0.41666662499999996,0.99375,0.203125,0.995,16,0.583333375,0.583333375,0.4639803710527357,0.6872203809739799,0.39354878770652735,0.014525252171088798,2.0,128.0,28.0,True,False,False,False,True
47,representative_base,base_representative;high_composite,quixbugs,quixbugs-python-next_permutation,quixbugs/quixbugs-python-next_permutation,base_representative;high_composite,0.6506249999999999,0.7106249999999998,easy,0.1875,1.0,0.45625,0.93125,16,0.8125,0.8125,0.3903123748998999,0.845028459107855,0.3447972263234871,0.024209279012405438,1.0,45.0,7.0,True,False,False,False,True
48,representative_base,base_representative;high_composite,financeagent_terminal,financeagent-26,financeagent_terminal/financeagent-26,base_representative;high_composite,0.6503749947916666,0.7103749947916667,medium,0.4583333125,0.9791666666666666,0.20833333333333334,0.94,16,0.5416666875,0.5416666875,0.4545296924508506,0.7238275067286984,0.4106711055884645,0.049125455955295716,2.0,39.0,1.0,True,False,False,False,True
49,representative_base,base_representative;high_composite,omnimath,omnimath_3346,omnimath/omnimath_3346,base_representative;high_composite,0.6497395781249999,0.709739578125,medium,0.3958333125,1.0,0.203125,1.0,16,0.6041666875,0.6041666875,0.4746160756557239,0.6773935913830674,0.40825276293257423,0.014525252171088798,1.0,129.0,29.0,True,False,False,False,True
50,representative_base,base_representative,swe-lancer,41340-manager-0,swe-lancer/41340-manager-0,base_representative,0.6447092094414894,0.7047092094414893,medium,0.41666662499999996,1.0,0.18617021276595744,0.96,16,0.583333375,0.583333375,0.4330127259485099,0.7595098914781897,0.35817901408114283,0.1049387438215561,1.0,78.0,21.0,True,False,False,False,False
51,representative_base,base_representative,pixiu,pixiu-travel-travel000011,pixiu/pixiu-travel-travel000011,base_representative,0.6434985736350575,0.7034985736350574,medium,0.39583337500000004,0.9885057471264368,0.23563218390804597,0.9310344827586207,16,0.604166625,0.604166625,0.4284784550690494,0.7118492331426399,0.3485835606166507,0.07021676057222614,2.0,68.0,18.0,True,False,False,False,False
52,representative_base,base_representative,codepde,codepde-burgers,codepde/codepde-burgers,base_representative,0.6416666718749999,0.701666671875,medium,0.5416666875,0.75,0.375,1.0,16,0.4583333125,0.4583333125,0.388640854185088,0.1667220858805043,0.18646376013560287,0.4246444583267913,2.0,3.0,3.0,True,False,False,False,False
53,representative_base,base_representative;high_composite,gaia,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,gaia/ed58682d-bc52-4baa-9eb0-4eb81e1edacc,base_representative;high_composite,0.6415870540406051,0.7015870540406051,medium,0.4166666875,1.0,0.14968152866242038,1.0,16,0.5833333125,0.5833333125,0.4787135647580292,0.7084739703074342,0.4199054973651443,0.05661891162570187,1.0,135.0,19.0,True,False,False,False,True
54,representative_base,base_representative;high_composite,simpleqa,simpleqa-221,simpleqa/simpleqa-221,base_representative;high_composite,0.640370753507653,0.7003707535076531,easy,0.2916666875,1.0,0.29081632653061223,0.965,16,0.7083333125,0.7083333125,0.4389855908322502,0.6516988910370569,0.33647513764633813,0.036709876672980424,1.0,140.0,22.0,True,False,False,False,True
55,representative_base,base_representative;high_composite,gaia2,gaia2-cli/0057_mdv6vvycdzxucjedlzt3nbrq7iu116ew,gaia2/gaia2-cli/0057_mdv6vvycdzxucjedlzt3nbrq7iu116ew,base_representative;high_composite,0.6377293037771324,0.6977293037771324,medium,0.5208334375,1.0,0.05384615384615385,0.9603960396039604,16,0.4791665625,0.4791665625,0.4147524532918655,0.5844412045841851,0.36273642201201756,0.04077430077101829,1.0,62.0,15.0,True,False,False,False,True
56,representative_base,base_representative;high_composite,medagentbench,task1_28,medagentbench/task1_28,base_representative;high_composite,0.6327678727678572,0.6927678727678572,medium,0.31250006250000006,1.0,0.2785714285714286,0.9,16,0.6874999374999999,0.6874999374999999,0.3813126849651196,0.8367614725375805,0.3379115771342251,0.05483698478358279,1.0,52.0,6.0,True,False,False,False,True
57,representative_base,base_representative;high_composite,sldbench,vocab_scaling_law,sldbench/vocab_scaling_law,base_representative;high_composite,0.632314828125,0.692314828125,easy,0.26675931249999996,0.875,0.4375,1.0,16,0.7332406875,0.7332406875,0.3391962978709228,0.7705255442688866,0.2835305711484396,0.09813767145621077,2.0,6.0,1.0,True,False,False,False,True
58,representative_base,base_representative;high_composite,swtbench,sympy__sympy-17630,swtbench/sympy__sympy-17630,base_representative;high_composite,0.6295254945790816,0.6895254945790816,medium,0.37499993749999994,0.9795918367346939,0.1836734693877551,0.98,16,0.6250000625000001,0.6250000625000001,0.4389855789677874,0.7693506754506044,0.3757712461501852,0.1414718683485131,2.0,41.0,2.0,True,False,False,False,True
59,representative_base,base_representative;high_composite,bixbench,bix-61-q2,bixbench/bix-61-q2,base_representative;high_composite,0.6290064102564102,0.6890064102564102,medium,0.375,1.0,0.14102564102564102,1.0,16,0.625,0.625,0.4545296867214781,0.7516407266104076,0.3648977297972108,0.09808770213204598,1.0,34.0,4.0,True,False,False,False,True
60,representative_base,base_representative;high_composite,simpleqa,simpleqa-2203,simpleqa/simpleqa-2203,base_representative;high_composite,0.6281207378826531,0.688120737882653,easy,0.29166662499999996,0.9948979591836735,0.2729591836734694,0.925,16,0.708333375,0.708333375,0.4228704777733182,0.5115927063098586,0.32691661390290233,0.03290372294216015,2.0,143.0,29.0,True,False,False,False,True
61,representative_base,base_representative,terminal-bench,feal-differential-cryptanalysis,terminal-bench/feal-differential-cryptanalysis,base_representative,0.62784678558828,0.6878467855882799,medium,0.4166666875,0.9879518072289156,0.13855421686746988,0.9550561797752809,16,0.5833333125,0.5833333125,0.4487637610084674,0.7495096618042183,0.3983172615529758,0.0429246165090057,2.0,72.0,17.0,True,False,False,False,False
62,representative_base,base_representative,aider-polyglot,polyglot_python_food-chain,aider-polyglot/polyglot_python_food-chain,base_representative,0.6275433478742458,0.6875433478742459,medium,0.37499993750000005,1.0,0.22850678733031674,0.8444444444444444,16,0.6250000625,0.6250000625,0.4389855789677875,0.7589333397863389,0.39847719049304786,0.02866634426164083,1.0,172.0,59.0,True,False,False,False,False
63,representative_base,base_representative;high_composite,cybergym,cybergym_arvo_24993,cybergym/cybergym_arvo_24993,base_representative;high_composite,0.6270833124999999,0.6870833125,easy,0.20833325000000003,1.0,0.3,1.0,16,0.79166675,0.79166675,0.3307188823860644,0.8953213966497895,0.2806508002777989,0.09523791383226465,1.0,8.0,2.0,True,False,False,False,True
64,representative_base,base_representative,terminal-bench,sqlite-db-truncate,terminal-bench/sqlite-db-truncate,base_representative,0.6267300893271118,0.6867300893271118,medium,0.3958333125,1.0,0.1144578313253012,0.9943820224719101,16,0.6041666875,0.6041666875,0.4746160756557239,0.7272539941210229,0.40629575311897465,0.03773358048019959,1.0,75.0,19.0,True,False,False,False,False
65,representative_base,base_representative;high_composite,mmmlu,mmmlu-bn-bd-00012,mmmlu/mmmlu-bn-bd-00012,base_representative;high_composite,0.6265298507462687,0.6865298507462687,medium,0.5,0.9626865671641791,0.07835820895522388,0.9666666666666667,16,0.5,0.5,0.5,0.0378334473840963,0.4907402182140089,0.0,1.0,115.0,6.0,True,False,False,False,True
66,representative_base,base_representative;high_composite,mmmlu,mmmlu-bn-bd-00014,mmmlu/mmmlu-bn-bd-00014,base_representative;high_composite,0.6265298507462687,0.6865298507462687,medium,0.5,0.9626865671641791,0.07835820895522388,0.9666666666666667,16,0.5,0.5,0.5,0.0378334473840963,0.4907402182140089,0.0,2.0,116.0,7.0,True,False,False,False,True
67,representative_base,base_representative;high_composite,research-code-bench,diff-transformer_re-parameterize_lambda,research-code-bench/diff-transformer_re-parameterize_lambda,base_representative;high_composite,0.6262446903091968,0.6862446903091968,medium,0.5,0.9162303664921466,0.16753926701570682,0.9245283018867925,16,0.5,0.5,0.5,0.0378334473840963,0.45832948236308185,0.0,1.0,131.0,10.0,True,False,False,False,True
68,representative_base,base_representative;high_composite,research-code-bench,diffusiondpo_calculate_reference_losses,research-code-bench/diffusiondpo_calculate_reference_losses,base_representative;high_composite,0.6262446903091968,0.6862446903091968,medium,0.5,0.9162303664921466,0.16753926701570682,0.9245283018867925,16,0.5,0.5,0.5,0.0378334473840963,0.45832948236308185,0.0,2.0,132.0,11.0,True,False,False,False,True
69,representative_base,base_representative;high_composite,dacode,dacode-dm-csv-043,dacode/dacode-dm-csv-043,base_representative;high_composite,0.6241921581554877,0.6841921581554877,easy,0.28525643749999996,0.9939024390243902,0.2530487804878049,0.945,16,0.7147435625,0.7147435625,0.4288528895330788,0.8050332552698195,0.33452629581725074,0.031703669360245934,2.0,124.0,26.0,True,False,False,False,True
70,representative_base,base_representative,skillsbench,lean4-proof,skillsbench/lean4-proof,base_representative,0.6236097796146868,0.6836097796146867,medium,0.3958333125,1.0,0.11029411764705882,0.9805194805194806,16,0.6041666875,0.6041666875,0.4443902062174242,0.7261007283403454,0.3616696793750709,0.10480047573689011,1.0,61.0,15.0,True,False,False,False,False
71,representative_base,base_representative;high_composite,strongreject,strongreject_disinformation_and_deception_0045_pap_logical_appeal,strongreject/strongreject_disinformation_and_deception_0045_pap_logical_appeal,base_representative;high_composite,0.6167846305147059,0.6767846305147058,easy,0.13802087500000004,0.9852941176470589,0.3897058823529412,0.9333333333333333,16,0.861979125,0.861979125,0.318252242412146,-0.1436643527481436,0.26050840204776987,0.02561647369010822,2.0,42.0,13.0,True,False,False,False,True
72,representative_base,base_representative,dacode,dacode-dm-csv-054,dacode/dacode-dm-csv-054,base_representative,0.6161636230945122,0.6761636230945123,easy,0.22916668750000002,1.0,0.2804878048780488,0.925,16,0.7708333125,0.7708333125,0.4034357878223495,0.8473814113044901,0.35323819466344414,0.03390823306840607,1.0,119.0,33.0,True,False,False,False,False
