task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aa-lcr/aa-lcr/aa-lcr-27,aa-lcr,aa-lcr/aa-lcr-27,16,0,0.0,0.5208333125,0.4559597868858227,0.0,1.0,0.5208333125,0.5208333125,0.4559597868858227,0.4312419577824493,medium,0,0
aa-lcr/aa-lcr/aa-lcr-28,aa-lcr,aa-lcr/aa-lcr-28,16,0,0.0,0.7291666875,0.35782428595344085,0.0,1.0,0.7291666875,0.7291666875,0.35782428595344085,0.7006583348649152,easy,0,0
aa-lcr/aa-lcr/aa-lcr-29,aa-lcr,aa-lcr/aa-lcr-29,16,0,0.0,0.645833375,0.41614552617847445,0.0,1.0,0.645833375,0.645833375,0.41614552617847445,0.7058481211813432,medium,0,0
aa-lcr/aa-lcr/aa-lcr-3,aa-lcr,aa-lcr/aa-lcr-3,16,0,0.0,0.75,0.36324161686438133,0.0,1.0,0.75,0.75,0.36324161686438133,0.6648629961038893,easy,0,0
aa-lcr/aa-lcr/aa-lcr-30,aa-lcr,aa-lcr/aa-lcr-30,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-31,aa-lcr,aa-lcr/aa-lcr-31,16,0,0.0,0.895833375,0.19432038353801018,0.333333,1.0,0.895833375,0.895833375,0.19432038353801018,0.6949466005904208,easy,0,0
aa-lcr/aa-lcr/aa-lcr-32,aa-lcr,aa-lcr/aa-lcr-32,16,0,0.0,0.729166625,0.37673217304652834,0.0,1.0,0.729166625,0.729166625,0.37673217304652834,0.5905725009407354,easy,0,0
aa-lcr/aa-lcr/aa-lcr-33,aa-lcr,aa-lcr/aa-lcr-33,16,0,0.0,0.8750000625000001,0.2602081998932463,0.0,1.0,0.8750000625000001,0.8750000625000001,0.2602081998932463,0.5887822633204592,easy,0,0
aa-lcr/aa-lcr/aa-lcr-34,aa-lcr,aa-lcr/aa-lcr-34,16,0,0.0,0.8333333125,0.35355342005606427,0.0,1.0,0.8333333125,0.8333333125,0.35355342005606427,0.709528510315633,easy,0,0
aa-lcr/aa-lcr/aa-lcr-35,aa-lcr,aa-lcr/aa-lcr-35,16,0,0.0,0.7708333125,0.327421604537773,0.0,1.0,0.7708333125,0.7708333125,0.327421604537773,0.8032431740435343,easy,0,0
aa-lcr/aa-lcr/aa-lcr-36,aa-lcr,aa-lcr/aa-lcr-36,16,0,0.0,0.7291666875,0.3578242859534409,0.0,1.0,0.7291666875,0.7291666875,0.3578242859534409,0.5453065205934974,easy,0,0
aa-lcr/aa-lcr/aa-lcr-37,aa-lcr,aa-lcr/aa-lcr-37,16,0,0.0,0.8125000625,0.23477976345169443,0.333333,1.0,0.8125000625,0.8125000625,0.23477976345169443,0.38158916185279385,easy,0,0
aa-lcr/aa-lcr/aa-lcr-38,aa-lcr,aa-lcr/aa-lcr-38,16,0,0.0,0.041666625,0.11023952772138663,0.0,0.333333,0.041666625,0.041666625,0.11023952772138663,-0.5405844823145141,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-39,aa-lcr,aa-lcr/aa-lcr-39,16,0,0.0,0.8333333125,0.26352323058051225,0.333333,1.0,0.8333333125,0.8333333125,0.26352323058051225,0.6614979435289645,easy,0,0
aa-lcr/aa-lcr/aa-lcr-4,aa-lcr,aa-lcr/aa-lcr-4,16,0,0.0,0.8541666875,0.234779785635582,0.333333,1.0,0.8541666875,0.8541666875,0.234779785635582,0.6252057305263462,easy,0,0
aa-lcr/aa-lcr/aa-lcr-40,aa-lcr,aa-lcr/aa-lcr-40,16,0,0.0,0.3541666875,0.3220756238297767,0.0,1.0,0.3541666875,0.3541666875,0.3220756238297767,0.05167422809985536,medium,0,0
aa-lcr/aa-lcr/aa-lcr-41,aa-lcr,aa-lcr/aa-lcr-41,16,0,0.0,0.8750000625000001,0.2602081998932463,0.0,1.0,0.8750000625000001,0.8750000625000001,0.2602081998932463,0.5887822633204592,easy,0,0
aa-lcr/aa-lcr/aa-lcr-42,aa-lcr,aa-lcr/aa-lcr-42,16,0,0.0,0.8333333125,0.35355342005606427,0.0,1.0,0.8333333125,0.8333333125,0.35355342005606427,0.709528510315633,easy,0,0
aa-lcr/aa-lcr/aa-lcr-43,aa-lcr,aa-lcr/aa-lcr-43,16,0,0.0,0.7291666875,0.31663931488243025,0.0,1.0,0.7291666875,0.7291666875,0.31663931488243025,0.4624620144913868,easy,0,0
aa-lcr/aa-lcr/aa-lcr-44,aa-lcr,aa-lcr/aa-lcr-44,16,0,0.0,0.2708333125,0.3578242859534409,0.0,1.0,0.2708333125,0.2708333125,0.3578242859534409,0.22634108401266312,hard,0,0
aa-lcr/aa-lcr/aa-lcr-45,aa-lcr,aa-lcr/aa-lcr-45,16,0,0.0,0.770833375,0.3479852801604679,0.0,1.0,0.770833375,0.770833375,0.3479852801604679,0.7591219034062332,easy,0,0
aa-lcr/aa-lcr/aa-lcr-46,aa-lcr,aa-lcr/aa-lcr-46,16,0,0.0,0.7500000625000001,0.38188129427439044,0.0,1.0,0.7500000625000001,0.7500000625000001,0.38188129427439044,0.3186376770586865,easy,0,0
aa-lcr/aa-lcr/aa-lcr-47,aa-lcr,aa-lcr/aa-lcr-47,16,0,0.0,0.541666625,0.3703415137486066,0.0,1.0,0.541666625,0.541666625,0.3703415137486066,0.13697643160289114,medium,0,0
aa-lcr/aa-lcr/aa-lcr-48,aa-lcr,aa-lcr/aa-lcr-48,16,0,0.0,0.5625000625,0.4521361480286481,0.0,1.0,0.5625000625,0.5625000625,0.4521361480286481,0.6833607112157798,medium,0,0
aa-lcr/aa-lcr/aa-lcr-49,aa-lcr,aa-lcr/aa-lcr-49,16,0,0.0,0.291666625,0.3510896084968685,0.0,1.0,0.291666625,0.291666625,0.3510896084968685,0.04228636605640237,hard,0,0
aa-lcr/aa-lcr/aa-lcr-5,aa-lcr,aa-lcr/aa-lcr-5,16,0,0.0,0.3958333125,0.33785997649224425,0.0,1.0,0.3958333125,0.3958333125,0.33785997649224425,0.5950262680206294,medium,0,0
aa-lcr/aa-lcr/aa-lcr-50,aa-lcr,aa-lcr/aa-lcr-50,16,0,0.0,0.625,0.38864084748437727,0.0,1.0,0.625,0.625,0.38864084748437727,0.419446001497689,medium,0,0
aa-lcr/aa-lcr/aa-lcr-51,aa-lcr,aa-lcr/aa-lcr-51,16,0,0.0,0.75,0.36324161686438133,0.0,1.0,0.75,0.75,0.36324161686438133,0.6119633572123508,easy,0,0
aa-lcr/aa-lcr/aa-lcr-52,aa-lcr,aa-lcr/aa-lcr-52,16,0,0.0,0.33333331250000003,0.3908680155187808,0.0,1.0,0.33333331250000003,0.33333331250000003,0.3908680155187808,0.4944978068596239,medium,0,0
aa-lcr/aa-lcr/aa-lcr-53,aa-lcr,aa-lcr/aa-lcr-53,16,0,0.0,0.8333333125,0.3118048379106149,0.0,1.0,0.8333333125,0.8333333125,0.3118048379106149,0.767811826530412,easy,0,0
aa-lcr/aa-lcr/aa-lcr-54,aa-lcr,aa-lcr/aa-lcr-54,16,0,0.0,0.75,0.36324161686438133,0.0,1.0,0.75,0.75,0.36324161686438133,0.37290980991730815,easy,0,0
aa-lcr/aa-lcr/aa-lcr-55,aa-lcr,aa-lcr/aa-lcr-55,16,0,0.0,0.770833375,0.30547666247928723,0.0,1.0,0.770833375,0.770833375,0.30547666247928723,0.7407328668473238,easy,0,0
aa-lcr/aa-lcr/aa-lcr-56,aa-lcr,aa-lcr/aa-lcr-56,16,0,0.0,0.8125,0.35293906855309315,0.0,1.0,0.8125,0.8125,0.35293906855309315,0.43819753720223764,easy,0,0
aa-lcr/aa-lcr/aa-lcr-57,aa-lcr,aa-lcr/aa-lcr-57,16,0,0.0,0.854166625,0.2626984468137552,0.333333,1.0,0.854166625,0.854166625,0.2626984468137552,0.781967836502225,easy,0,0
aa-lcr/aa-lcr/aa-lcr-58,aa-lcr,aa-lcr/aa-lcr-58,16,0,0.0,0.8333333125,0.26352323058051225,0.333333,1.0,0.8333333125,0.8333333125,0.26352323058051225,0.48807155970384564,easy,0,0
aa-lcr/aa-lcr/aa-lcr-59,aa-lcr,aa-lcr/aa-lcr-59,16,0,0.0,0.625,0.4228705147231833,0.0,1.0,0.625,0.625,0.4228705147231833,0.6340176175565281,medium,0,0
aa-lcr/aa-lcr/aa-lcr-6,aa-lcr,aa-lcr/aa-lcr-6,16,0,0.0,0.7083334374999999,0.37034142233518264,0.0,1.0,0.7083334374999999,0.7083334374999999,0.37034142233518264,0.7612208386484497,easy,0,0
aa-lcr/aa-lcr/aa-lcr-60,aa-lcr,aa-lcr/aa-lcr-60,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-61,aa-lcr,aa-lcr/aa-lcr-61,16,0,0.0,0.72916675,0.293890362446504,0.0,1.0,0.72916675,0.72916675,0.293890362446504,0.5609285916672659,easy,0,0
aa-lcr/aa-lcr/aa-lcr-62,aa-lcr,aa-lcr/aa-lcr-62,16,0,0.0,0.8125,0.26269841707436115,0.333333,1.0,0.8125,0.8125,0.26269841707436115,0.3792265047803666,easy,0,0
aa-lcr/aa-lcr/aa-lcr-63,aa-lcr,aa-lcr/aa-lcr-63,16,0,0.0,0.729166625,0.3378599803461256,0.0,1.0,0.729166625,0.729166625,0.3378599803461256,0.6289576768668098,easy,0,0
aa-lcr/aa-lcr/aa-lcr-64,aa-lcr,aa-lcr/aa-lcr-64,16,0,0.0,0.8749999374999999,0.26020838003739155,0.333333,1.0,0.8749999374999999,0.8749999374999999,0.26020838003739155,0.8021655224505613,easy,0,0
aa-lcr/aa-lcr/aa-lcr-65,aa-lcr,aa-lcr/aa-lcr-65,16,0,0.0,0.9166666875,0.1863390074419869,0.333333,1.0,0.9166666875,0.9166666875,0.1863390074419869,0.6135434487154896,easy,0,0
aa-lcr/aa-lcr/aa-lcr-66,aa-lcr,aa-lcr/aa-lcr-66,16,0,0.0,0.6041666875,0.44439020621742426,0.0,1.0,0.6041666875,0.6041666875,0.44439020621742426,0.43156091696709886,medium,0,0
aa-lcr/aa-lcr/aa-lcr-67,aa-lcr,aa-lcr/aa-lcr-67,16,0,0.0,0.5625001249999999,0.40343579750483144,0.0,1.0,0.5625001249999999,0.5625001249999999,0.40343579750483144,-0.1255600095625199,medium,0,0
aa-lcr/aa-lcr/aa-lcr-68,aa-lcr,aa-lcr/aa-lcr-68,16,0,0.0,0.8750000625000001,0.26020819989324623,0.0,1.0,0.8750000625000001,0.8750000625000001,0.26020819989324623,0.46311404081349355,easy,0,0
aa-lcr/aa-lcr/aa-lcr-69,aa-lcr,aa-lcr/aa-lcr-69,16,0,0.0,0.6458333125,0.3626437250997387,0.0,1.0,0.6458333125,0.6458333125,0.3626437250997387,-0.16619040867307605,medium,0,0
aa-lcr/aa-lcr/aa-lcr-7,aa-lcr,aa-lcr/aa-lcr-7,16,0,0.0,0.5625000625000001,0.42029671955097225,0.0,1.0,0.5625000625000001,0.5625000625000001,0.42029671955097225,0.6147212050381762,medium,0,0
aa-lcr/aa-lcr/aa-lcr-70,aa-lcr,aa-lcr/aa-lcr-70,16,0,0.0,0.833333375,0.288675134594858,0.0,1.0,0.833333375,0.833333375,0.288675134594858,0.7358251383203193,easy,0,0
aa-lcr/aa-lcr/aa-lcr-71,aa-lcr,aa-lcr/aa-lcr-71,16,0,0.0,0.4583333125,0.4841229236550773,0.0,1.0,0.4583333125,0.4583333125,0.4841229236550773,0.6023401186062709,medium,0,0
aa-lcr/aa-lcr/aa-lcr-72,aa-lcr,aa-lcr/aa-lcr-72,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-73,aa-lcr,aa-lcr/aa-lcr-73,16,0,0.0,0.20833331249999998,0.3090083068148652,0.0,1.0,0.20833331249999998,0.20833331249999998,0.3090083068148652,0.3011365430420837,hard,0,0
aa-lcr/aa-lcr/aa-lcr-74,aa-lcr,aa-lcr/aa-lcr-74,16,0,0.0,0.6458333125,0.3626437250997387,0.0,1.0,0.6458333125,0.6458333125,0.3626437250997387,0.322680496061984,medium,0,0
aa-lcr/aa-lcr/aa-lcr-75,aa-lcr,aa-lcr/aa-lcr-75,16,0,0.0,0.875,0.28565229932756536,0.0,1.0,0.875,0.875,0.28565229932756536,0.5246699719675855,easy,0,0
aa-lcr/aa-lcr/aa-lcr-76,aa-lcr,aa-lcr/aa-lcr-76,16,0,0.0,0.416666625,0.3996526703832772,0.0,1.0,0.416666625,0.416666625,0.3996526703832772,-0.08780802183381227,medium,0,0
aa-lcr/aa-lcr/aa-lcr-77,aa-lcr,aa-lcr/aa-lcr-77,16,0,0.0,0.7708333125,0.36739987888806497,0.0,1.0,0.7708333125,0.7708333125,0.36739987888806497,0.7128297846375615,easy,0,0
aa-lcr/aa-lcr/aa-lcr-78,aa-lcr,aa-lcr/aa-lcr-78,16,0,0.0,0.041666625,0.11023952772138663,0.0,0.333333,0.041666625,0.041666625,0.11023952772138663,0.024344903741923232,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-79,aa-lcr,aa-lcr/aa-lcr-79,16,0,0.0,0.7708333125,0.327421604537773,0.0,1.0,0.7708333125,0.7708333125,0.327421604537773,0.7736964501519731,easy,0,0
aa-lcr/aa-lcr/aa-lcr-8,aa-lcr,aa-lcr/aa-lcr-8,16,0,0.0,0.72916675,0.3378598955599976,0.0,1.0,0.72916675,0.72916675,0.3378598955599976,0.11817999670053991,easy,0,0
aa-lcr/aa-lcr/aa-lcr-80,aa-lcr,aa-lcr/aa-lcr-80,16,0,0.0,0.145833375,0.2626984468137552,0.0,0.666667,0.145833375,0.145833375,0.2626984468137552,-0.10632344406023964,hard,0,0
aa-lcr/aa-lcr/aa-lcr-81,aa-lcr,aa-lcr/aa-lcr-81,16,0,0.0,0.2708333125,0.26922609799263486,0.0,0.666667,0.2708333125,0.2708333125,0.26922609799263486,-0.23314517110213068,hard,0,0
aa-lcr/aa-lcr/aa-lcr-82,aa-lcr,aa-lcr/aa-lcr-82,16,0,0.0,0.9166666875,0.24999997916667882,0.0,1.0,0.9166666875,0.9166666875,0.24999997916667882,0.38925561733450686,easy,0,0
aa-lcr/aa-lcr/aa-lcr-83,aa-lcr,aa-lcr/aa-lcr-83,16,0,0.0,0.8750000625000001,0.19982628306308606,0.333333,1.0,0.8750000625000001,0.8750000625000001,0.19982628306308606,0.7477829976146436,easy,0,0
aa-lcr/aa-lcr/aa-lcr-84,aa-lcr,aa-lcr/aa-lcr-84,16,0,0.0,0.7708334374999999,0.28182809569109873,0.0,1.0,0.7708334374999999,0.7708334374999999,0.28182809569109873,0.4424720888710439,easy,0,0
aa-lcr/aa-lcr/aa-lcr-85,aa-lcr,aa-lcr/aa-lcr-85,16,0,0.0,0.833333375,0.288675134594858,0.0,1.0,0.833333375,0.833333375,0.288675134594858,0.7358251383203193,easy,0,0
aa-lcr/aa-lcr/aa-lcr-86,aa-lcr,aa-lcr/aa-lcr-86,16,0,0.0,0.20833325,0.23199019675179702,0.0,0.666667,0.20833325,0.20833325,0.23199019675179702,0.2980409913595031,hard,0,0
aa-lcr/aa-lcr/aa-lcr-87,aa-lcr,aa-lcr/aa-lcr-87,16,0,0.0,0.2708331875,0.3166392244140441,0.0,1.0,0.2708331875,0.2708331875,0.3166392244140441,0.3309480815966629,hard,0,0
aa-lcr/aa-lcr/aa-lcr-88,aa-lcr,aa-lcr/aa-lcr-88,16,0,0.0,0.39583325,0.3166393354434387,0.0,1.0,0.39583325,0.39583325,0.3166393354434387,0.44416841831101395,medium,0,0
aa-lcr/aa-lcr/aa-lcr-89,aa-lcr,aa-lcr/aa-lcr-89,16,0,0.0,0.7916666875,0.35108958624468606,0.0,1.0,0.7916666875,0.7916666875,0.35108958624468606,0.2596871235501211,easy,0,0
aa-lcr/aa-lcr/aa-lcr-9,aa-lcr,aa-lcr/aa-lcr-9,16,0,0.0,0.520833375,0.4404661652253887,0.0,1.0,0.520833375,0.520833375,0.4404661652253887,0.686837933711304,medium,0,0
aa-lcr/aa-lcr/aa-lcr-90,aa-lcr,aa-lcr/aa-lcr-90,16,0,0.0,0.1041666875,0.22726491784251446,0.0,0.666667,0.1041666875,0.1041666875,0.22726491784251446,0.24113770303252957,hard,0,0
aa-lcr/aa-lcr/aa-lcr-91,aa-lcr,aa-lcr/aa-lcr-91,16,0,0.0,0.8124999374999999,0.3326817446587408,0.0,1.0,0.8124999374999999,0.8124999374999999,0.3326817446587408,0.07690012679440088,easy,0,0
aa-lcr/aa-lcr/aa-lcr-92,aa-lcr,aa-lcr/aa-lcr-92,16,0,0.0,0.375,0.4545296867214781,0.0,1.0,0.375,0.375,0.4545296867214781,0.4223280311893105,medium,0,0
aa-lcr/aa-lcr/aa-lcr-93,aa-lcr,aa-lcr/aa-lcr-93,16,0,0.0,0.9166666875,0.24999997916667882,0.0,1.0,0.9166666875,0.9166666875,0.24999997916667882,0.035408047690235964,easy,0,0
aa-lcr/aa-lcr/aa-lcr-94,aa-lcr,aa-lcr/aa-lcr-94,16,0,0.0,0.5624999374999999,0.45213616530773515,0.0,1.0,0.5624999374999999,0.5624999374999999,0.45213616530773515,0.48829881579183104,medium,0,0
aa-lcr/aa-lcr/aa-lcr-95,aa-lcr,aa-lcr/aa-lcr-95,16,0,0.0,0.2708333125,0.3578242859534409,0.0,1.0,0.2708333125,0.2708333125,0.3578242859534409,0.15109084400229483,hard,0,0
aa-lcr/aa-lcr/aa-lcr-96,aa-lcr,aa-lcr/aa-lcr-96,16,0,0.0,0.895833375,0.19432038353801018,0.333333,1.0,0.895833375,0.895833375,0.19432038353801018,0.5580418735581991,easy,0,0
aa-lcr/aa-lcr/aa-lcr-97,aa-lcr,aa-lcr/aa-lcr-97,16,0,0.0,0.8541666875,0.234779785635582,0.333333,1.0,0.8541666875,0.8541666875,0.234779785635582,0.735719842277754,easy,0,0
aa-lcr/aa-lcr/aa-lcr-98,aa-lcr,aa-lcr/aa-lcr-98,16,0,0.0,0.12499993750000002,0.26020819989324623,0.0,1.0,0.12499993750000002,0.12499993750000002,0.26020819989324623,0.26931489593730984,hard,0,0
aa-lcr/aa-lcr/aa-lcr-99,aa-lcr,aa-lcr/aa-lcr-99,16,0,0.0,0.5625,0.40343581686976554,0.0,1.0,0.5625,0.5625,0.40343581686976554,0.04337032755588944,medium,0,0
aider-polyglot/polyglot_cpp_all-your-base,aider-polyglot,polyglot_cpp_all-your-base,16,0,0.0,0.3125,0.4325112554733403,0.0,1.0,0.3125,0.3125,0.4325112554733403,0.47211108578440825,medium,0,0
aider-polyglot/polyglot_cpp_allergies,aider-polyglot,polyglot_cpp_allergies,16,0,0.0,0.3541666875,0.3626437250997387,0.0,1.0,0.3541666875,0.3541666875,0.3626437250997387,0.4677542090037478,medium,0,0
aider-polyglot/polyglot_cpp_bank-account,aider-polyglot,polyglot_cpp_bank-account,16,0,0.0,0.5208333125,0.42440730833491763,0.0,1.0,0.5208333125,0.5208333125,0.42440730833491763,0.4935302454311502,medium,0,0
aider-polyglot/polyglot_cpp_binary-search-tree,aider-polyglot,polyglot_cpp_binary-search-tree,16,0,0.0,0.1875,0.3111080555405951,0.0,1.0,0.1875,0.1875,0.3111080555405951,0.457231743508834,hard,0,0
aider-polyglot/polyglot_cpp_circular-buffer,aider-polyglot,polyglot_cpp_circular-buffer,16,0,0.0,0.354166625,0.41614552617847445,0.0,1.0,0.354166625,0.354166625,0.41614552617847445,0.34768806551990544,medium,0,0
aider-polyglot/polyglot_cpp_clock,aider-polyglot,polyglot_cpp_clock,16,0,0.0,0.2916665625,0.33071892175739065,0.0,1.0,0.2916665625,0.2916665625,0.33071892175739065,0.30905865497693485,hard,0,0
aider-polyglot/polyglot_cpp_complex-numbers,aider-polyglot,polyglot_cpp_complex-numbers,16,0,0.0,0.583333375,0.3632416455413797,0.0,1.0,0.583333375,0.583333375,0.3632416455413797,0.48887849286088975,medium,0,0
aider-polyglot/polyglot_cpp_crypto-square,aider-polyglot,polyglot_cpp_crypto-square,16,0,0.0,0.3750000625,0.40611649301993213,0.0,1.0,0.3750000625,0.3750000625,0.40611649301993213,0.5586711239831584,medium,0,0
aider-polyglot/polyglot_cpp_diamond,aider-polyglot,polyglot_cpp_diamond,16,0,0.0,0.520833375,0.37209530355892606,0.0,1.0,0.520833375,0.520833375,0.37209530355892606,0.6459921413324425,medium,0,0
aider-polyglot/polyglot_cpp_dnd-character,aider-polyglot,polyglot_cpp_dnd-character,16,0,0.0,0.5000000625000001,0.35355347898169326,0.0,1.0,0.5000000625000001,0.5000000625000001,0.35355347898169326,0.719984915247819,medium,0,0
aider-polyglot/polyglot_cpp_gigasecond,aider-polyglot,polyglot_cpp_gigasecond,16,0,0.0,0.333333375,0.37267807078561027,0.0,1.0,0.333333375,0.333333375,0.37267807078561027,0.46284226083368796,medium,0,0
aider-polyglot/polyglot_cpp_grade-school,aider-polyglot,polyglot_cpp_grade-school,16,0,0.0,0.604166625,0.3947353829712816,0.0,1.0,0.604166625,0.604166625,0.3947353829712816,0.5968450270622889,medium,0,0
aider-polyglot/polyglot_cpp_kindergarten-garden,aider-polyglot,polyglot_cpp_kindergarten-garden,16,0,0.0,0.125,0.33071891388307384,0.0,1.0,0.125,0.125,0.33071891388307384,0.34072969062110403,hard,0,0
aider-polyglot/polyglot_cpp_knapsack,aider-polyglot,polyglot_cpp_knapsack,16,0,0.0,0.6249999374999999,0.4389856145612104,0.0,1.0,0.6249999374999999,0.6249999374999999,0.4389856145612104,0.6592006744592068,medium,0,0
aider-polyglot/polyglot_cpp_linked-list,aider-polyglot,polyglot_cpp_linked-list,16,0,0.0,0.7083334375,0.3703414223351826,0.0,1.0,0.7083334375,0.7083334375,0.3703414223351826,0.6822586105391178,easy,0,0
aider-polyglot/polyglot_cpp_meetup,aider-polyglot,polyglot_cpp_meetup,16,0,0.0,0.166666625,0.3333333125000176,0.0,1.0,0.166666625,0.166666625,0.3333333125000176,0.4021866537938621,hard,0,0
aider-polyglot/polyglot_cpp_parallel-letter-frequency,aider-polyglot,polyglot_cpp_parallel-letter-frequency,16,0,0.0,0.1458333125,0.23477978563558202,0.0,0.666667,0.1458333125,0.1458333125,0.23477978563558202,0.24839145353020858,hard,0,0
aider-polyglot/polyglot_cpp_perfect-numbers,aider-polyglot,polyglot_cpp_perfect-numbers,16,0,0.0,0.6666666875,0.39086801551878075,0.0,1.0,0.6666666875,0.6666666875,0.39086801551878075,0.7509957140466648,medium,0,0
aider-polyglot/polyglot_cpp_phone-number,aider-polyglot,polyglot_cpp_phone-number,16,0,0.0,0.22916675,0.3479853774466501,0.0,1.0,0.22916675,0.22916675,0.3479853774466501,0.3617265139614303,hard,0,0
aider-polyglot/polyglot_cpp_queen-attack,aider-polyglot,polyglot_cpp_queen-attack,16,0,0.0,0.24999999999999997,0.36324161686438133,0.0,1.0,0.24999999999999997,0.24999999999999997,0.36324161686438133,0.4472737563693753,hard,0,0
